application/rtf,application,rtf,http://www.iana.org/assignments/media-types/application/rtf,,False
application/rtx,application,rtx,,http://www.ietf.org/rfc/rfc4588.txt,False
application/samlassertion+xml,application,samlassertion+xml,http://www.iana.org/assignments/media-types/application/samlassertion+xml,,False
application/samlmetadata+xml,application,samlmetadata+xml,http://www.iana.org/assignments/media-types/application/samlmetadata+xml,,False
application/sbml+xml,application,sbml+xml,,http://www.rfc-editor.org/rfc/rfc3823.txt,False
application/scvp-cv-request,application,scvp-cv-request,,http://www.rfc-editor.org/rfc/rfc5055.txt,False
application/scvp-cv-response,application,scvp-cv-response,,http://www.rfc-editor.org/rfc/rfc5055.txt,False
application/scvp-vp-request,application,scvp-vp-request,,http://www.rfc-editor.org/rfc/rfc5055.txt,False
application/scvp-vp-response,application,scvp-vp-response,,http://www.rfc-editor.org/rfc/rfc5055.txt,False
application/sdp,application,sdp,,http://www.ietf.org/rfc/rfc4566.txt,False
application/set-payment,application,set-payment,http://www.iana.org/assignments/media-types/application/set-payment,,False
application/set-payment-initiation,application,set-payment-initiation,http://www.iana.org/assignments/media-types/application/set-payment-initiation,,False
application/set-registration,application,set-registration,http://www.iana.org/assignments/media-types/application/set-registration,,False
application/set-registration-initiation,application,set-registration-initiation,http://www.iana.org/assignments/media-types/application/set-registration-initiation,,False
application/sgml,application,sgml,,http://www.rfc-editor.org/rfc/rfc1874.txt,False
application/sgml-open-catalog,application,sgml-open-catalog,http://www.iana.org/assignments/media-types/application/sgml-open-catalog,,False
application/shf+xml,application,shf+xml,,http://www.rfc-editor.org/rfc/rfc4194.txt,False
application/sieve,application,sieve,,http://www.rfc-editor.org/rfc/rfc5228.txt,False
application/simple-filter+xml,application,simple-filter+xml,,http://www.ietf.org/rfc/rfc4661.txt,False
application/simple-message-summary,application,simple-message-summary,,http://www.rfc-editor.org/rfc/rfcxxxx.txt,False
application/simpleSymbolContainer,application,simpleSymbolContainer,http://www.iana.org/assignments/media-types/application/simpleSymbolContainer,,False
application/slate,application,slate,http://www.iana.org/assignments/media-types/application/slate,,False
application/smil,application,smil,,http://www.ietf.org/rfc/rfc4536.txt,True
application/smil+xml,application,smil+xml,,http://www.ietf.org/rfc/rfc4536.txt,False
application/soap+fastinfoset,application,soap+fastinfoset,http://www.iana.org/assignments/media-types/application/soap+fastinfoset,,False
application/soap+xml,application,soap+xml,,http://www.rfc-editor.org/rfc/rfc3902.txt,False
application/sparql-query,application,sparql-query,http://www.iana.orghttp://www.w3.org/TR/2007/CR-rdf-sparql-query-20070614/#mediaType,,False
application/sparql-results+xml,application,sparql-results+xml,http://www.iana.orghttp://www.w3.org/TR/2007/CR-rdf-sparql-XMLres-20070925/#mime,,False
application/spirits-event+xml,application,spirits-event+xml,,http://www.rfc-editor.org/rfc/rfc3910.txt,False
application/srgs,application,srgs,,http://www.rfc-editor.org/rfc/rfc4267.txt,False
application/srgs+xml,application,srgs+xml,,http://www.rfc-editor.org/rfc/rfc4267.txt,False
application/ssml+xml,application,ssml+xml,,http://www.rfc-editor.org/rfc/rfc4267.txt,False
application/timestamp-query,application,timestamp-query,,http://www.rfc-editor.org/rfc/rfc3161.txt,False
application/timestamp-reply,application,timestamp-reply,,http://www.rfc-editor.org/rfc/rfc3161.txt,False
application/tve-trigger,application,tve-trigger,http://www.iana.org/assignments/media-types/application/tve-trigger,,False
application/ulpfec,application,ulpfec,,http://www.rfc-editor.org/rfc/rfc5109.txt,False
application/vemmi,application,vemmi,,http://www.rfc-editor.org/rfc/rfc2122.txt,False
application/vnd.3gpp.bsf+xml,application,vnd.3gpp.bsf+xml,http://www.iana.org/assignments/media-types/application/vnd.3gpp.bsf+xml,,False
application/vnd.3gpp.pic-bw-large,application,vnd.3gpp.pic-bw-large,http://www.iana.org/assignments/media-types/application/vnd.3gpp.pic-bw-large,,False
application/vnd.3gpp.pic-bw-small,application,vnd.3gpp.pic-bw-small,http://www.iana.org/assignments/media-types/application/vnd.3gpp.pic-bw-small,,False
application/vnd.3gpp.pic-bw-var,application,vnd.3gpp.pic-bw-var,http://www.iana.org/assignments/media-types/application/vnd.3gpp.pic-bw-var,,False
application/vnd.3gpp.sms,application,vnd.3gpp.sms,http://www.iana.org/assignments/media-types/application/vnd.3gpp.sms,,False
application/vnd.3gpp2.bcmcsinfo+xml,application,vnd.3gpp2.bcmcsinfo+xml,http://www.iana.org/assignments/media-types/application/vnd.3gpp2.bcmcsinfo+xml,,False
application/vnd.3gpp2.sms,application,vnd.3gpp2.sms,http://www.iana.org/assignments/media-types/application/vnd.3gpp2.sms,,False
application/vnd.3gpp2.tcap,application,vnd.3gpp2.tcap,http://www.iana.org/assignments/media-types/application/vnd.3gpp2.tcap,,False
application/vnd.3M.Post-it-Notes,application,vnd.3M.Post-it-Notes,http://www.iana.org/assignments/media-types/application/vnd.3M.Post-it-Notes,,False
application/vnd.accpac.simply.aso,application,vnd.accpac.simply.aso,http://www.iana.org/assignments/media-types/application/vnd.accpac.simply.aso,,False
application/vnd.accpac.simply.imp,application,vnd.accpac.simply.imp,http://www.iana.org/assignments/media-types/application/vnd.accpac.simply.imp,,False
application/vnd.acucobol,application,vnd.acucobol,http://www.iana.org/assignments/media-types/application/vnd-acucobol,,False
application/vnd.acucorp,application,vnd.acucorp,http://www.iana.org/assignments/media-types/application/vnd.acucorp,,False
application/vnd.adobe.partial-upload,application,vnd.adobe.partial-upload,http://www.iana.org/assignments/media-types/application/vnd.adobe.partial-upload,,False
application/vnd.adobe.xdp+xml,application,vnd.adobe.xdp+xml,http://www.iana.org/assignments/media-types/application/vnd.adobe.xdp+xml,,False
application/vnd.adobe.xfdf,application,vnd.adobe.xfdf,http://www.iana.org/assignments/media-types/application/vnd.adobe.xfdf,,False
application/vnd.aether.imp,application,vnd.aether.imp,http://www.iana.org/assignments/media-types/application/vnd.aether.imp,,False
application/vnd.airzip.filesecure.azf,application,vnd.airzip.filesecure.azf,http://www.iana.org/assignments/media-types/application/vnd.airzip.filesecure.azf,,False
application/vnd.airzip.filesecure.azs,application,vnd.airzip.filesecure.azs,http://www.iana.org/assignments/media-types/application/vnd.airzip.filesecure.azs,,False
application/vnd.americandynamics.acc,application,vnd.americandynamics.acc,http://www.iana.org/assignments/media-types/application/vnd.americandynamics.acc,,False
application/vnd.amiga.ami,application,vnd.amiga.ami,http://www.iana.org/assignments/media-types/application/vnd.amiga.ami,,False
application/vnd.anser-web-certificate-issue-initiation,application,vnd.anser-web-certificate-issue-initiation,http://www.iana.org/assignments/media-types/application/vnd.anser-web-certificate-issue-initiation,,False
application/vnd.antix.game-component,application,vnd.antix.game-component,http://www.iana.org/assignments/media-types/application/vnd.antix.game-component,,False
application/vnd.apple.mpegurl,application,vnd.apple.mpegurl,http://www.iana.org/assignments/media-types/application/vnd.apple.mpegurl,,False
application/vnd.apple.installer+xml,application,vnd.apple.installer+xml,http://www.iana.org/assignments/media-types/application/vnd.apple.installer+xml,,False
application/vnd.arastra.swi,application,vnd.arastra.swi,http://www.iana.org/assignments/media-types/application/vnd.arastra.swi,,False
application/vnd.aristanetworks.swi,application,vnd.aristanetworks.swi,http://www.iana.org/assignments/media-types/application/vnd.aristanetworks.swi,,False
application/vnd.audiograph,application,vnd.audiograph,http://www.iana.org/assignments/media-types/application/vnd.audiograph,,False
application/vnd.autopackage,application,vnd.autopackage,http://www.iana.org/assignments/media-types/application/vnd.autopackage,,False
application/vnd.avistar+xml,application,vnd.avistar+xml,http://www.iana.org/assignments/media-types/application/vnd.avistar+xml,,False
application/vnd.blueice.multipass,application,vnd.blueice.multipass,http://www.iana.org/assignments/media-types/application/vnd.blueice.multipass,,False
application/vnd.bluetooth.ep.oob,application,vnd.bluetooth.ep.oob,http://www.iana.org/assignments/media-types/application/vnd.bluetooth.ep.oob,,False
application/vnd.bmi,application,vnd.bmi,http://www.iana.org/assignments/media-types/application/vnd.bmi,,False
application/vnd.businessobjects,application,vnd.businessobjects,http://www.iana.org/assignments/media-types/application/vnd.businessobjects,,False
application/vnd.cab-jscript,application,vnd.cab-jscript,http://www.iana.org/assignments/media-types/application/vnd.cab-jscript,,False
application/vnd.canon-cpdl,application,vnd.canon-cpdl,http://www.iana.org/assignments/media-types/application/vnd.canon-cpdl,,False
application/vnd.canon-lips,application,vnd.canon-lips,http://www.iana.org/assignments/media-types/application/vnd.canon-lips,,False
application/vnd.cendio.thinlinc.clientconf,application,vnd.cendio.thinlinc.clientconf,http://www.iana.org/assignments/media-types/application/vnd.cendio.thinlinc.clientconf,,False
application/vnd.chemdraw+xml,application,vnd.chemdraw+xml,http://www.iana.org/assignments/media-types/application/vnd.chemdraw+xml,,False
application/vnd.chipnuts.karaoke-mmd,application,vnd.chipnuts.karaoke-mmd,http://www.iana.org/assignments/media-types/application/vnd.chipnuts.karaoke-mmd,,False
application/vnd.cinderella,application,vnd.cinderella,http://www.iana.org/assignments/media-types/application/vnd.cinderella,,False
application/vnd.cirpack.isdn-ext,application,vnd.cirpack.isdn-ext,http://www.iana.org/assignments/media-types/application/vnd.cirpack.isdn-ext,,False
application/vnd.claymore,application,vnd.claymore,http://www.iana.org/assignments/media-types/application/vnd.claymore,,False
application/vnd.cloanto.rp9,application,vnd.cloanto.rp9,http://www.iana.org/assignments/media-types/application/vnd.cloanto.rp9,,False
application/vnd.clonk.c4group,application,vnd.clonk.c4group,http://www.iana.org/assignments/media-types/application/vnd.clonk.c4group,,False
application/vnd.commerce-battelle,application,vnd.commerce-battelle,http://www.iana.org/assignments/media-types/application/vnd.commerce-battelle,,False
application/vnd.commonspace,application,vnd.commonspace,http://www.iana.org/assignments/media-types/application/vnd.commonspace,,False
application/vnd.cosmocaller,application,vnd.cosmocaller,http://www.iana.org/assignments/media-types/application/vnd.cosmocaller,,False
application/vnd.contact.cmsg,application,vnd.contact.cmsg,http://www.iana.org/assignments/media-types/application/vnd.contact.cmsg,,False
application/vnd.crick.clicker,application,vnd.crick.clicker,http://www.iana.org/assignments/media-types/application/vnd.crick.clicker,,False
application/vnd.crick.clicker.keyboard,application,vnd.crick.clicker.keyboard,http://www.iana.org/assignments/media-types/application/vnd.crick.clicker.keyboard,,False
application/vnd.crick.clicker.palette,application,vnd.crick.clicker.palette,http://www.iana.org/assignments/media-types/application/vnd.crick.clicker.palette,,False
application/vnd.crick.clicker.template,application,vnd.crick.clicker.template,http://www.iana.org/assignments/media-types/application/vnd.crick.clicker.template,,False
